epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4105,2.18279,8.40311,1.4344,0.00333,1,0.00484,0.00209,1.74126,4.41276,1.13548,0.00014,0.00014,0.00014
2,16.0223,2.11994,6.54243,1.29877,0.00333,1,0.00574,0.00321,1.41209,4.35652,1.00199,0.00029406,0.00029406,0.00029406
3,19.527,1.88024,5.66236,1.24731,0.00333,1,0.00659,0.00323,1.59099,3.97973,1.00132,0.000441784,0.000441784,0.000441784
4,23.3935,1.79942,4.19082,1.18644,0.00296,0.88889,0.00577,0.00361,1.34907,4.19866,1.01175,0.000583172,0.000583172,0.000583172
5,25.9329,1.7878,4.31643,1.13851,0.00296,0.88889,0.00593,0.00299,1.53384,4.18299,1.09005,0.000718224,0.000718224,0.000718224
6,28.2653,1.80025,4.03702,1.23756,0.00296,0.88889,0.00802,0.00339,1.3023,3.93281,0.99339,0.00084694,0.00084694,0.00084694
7,30.4673,1.82255,3.79459,1.19979,0.00296,0.88889,0.21176,0.12373,1.59743,3.85471,1.01151,0.00096932,0.00096932,0.00096932
8,32.597,1.81852,5.20972,1.12847,0.00296,0.88889,0.06969,0.05067,1.5844,3.87459,1.01292,0.00108536,0.00108536,0.00108536
9,34.9287,1.64168,3.63113,1.08907,0.00296,0.88889,0.82768,0.50252,1.51,3.06366,1.05075,0.00119507,0.00119507,0.00119507
10,38.1912,1.55726,3.35134,1.11615,0.00333,1,0.60806,0.31471,1.75325,3.49462,1.22252,0.00129844,0.00129844,0.00129844
11,41.9513,1.68164,3.141,1.14042,0.00333,1,0.43756,0.24378,1.93374,3.4978,1.34735,0.00139548,0.00139548,0.00139548
12,44.5639,1.76565,4.37411,1.18608,0.72837,0.66667,0.69837,0.41324,1.68363,3.05416,1.26415,0.00148618,0.00148618,0.00148618
13,46.6223,1.68414,3.04436,1.13248,0.6927,0.55556,0.79518,0.52432,1.46843,2.57411,1.16508,0.0015248,0.0015248,0.0015248
14,48.9282,1.43047,2.77325,1.03665,0.79333,0.85556,0.8271,0.38556,1.91621,1.93672,1.38762,0.0014852,0.0014852,0.0014852
15,51.0211,1.56863,3.2924,1.09166,0.7969,0.8734,0.81008,0.39534,1.97758,2.00921,1.37064,0.0014456,0.0014456,0.0014456
16,53.2139,1.49948,2.69026,1.12279,0.88706,0.87422,0.80053,0.45023,1.68191,1.68132,1.2936,0.001406,0.001406,0.001406
17,56.3275,1.57184,3.39666,1.16923,0.88851,0.88588,0.79994,0.45682,1.6942,1.50641,1.36823,0.0013664,0.0013664,0.0013664
18,60.0285,1.43586,2.68965,1.035,0.87945,0.88889,0.82406,0.44461,1.89916,1.3723,1.46162,0.0013268,0.0013268,0.0013268
19,62.5105,1.50162,3.0834,1.16635,0.87268,0.88889,0.87328,0.38983,2.16025,1.43658,1.5809,0.0012872,0.0012872,0.0012872
20,64.5648,1.42636,2.43139,1.07455,1,0.87358,0.88518,0.44851,2.09482,1.3046,1.60211,0.0012476,0.0012476,0.0012476
21,66.783,1.46808,2.58172,1.04971,0.86321,0.88889,0.87322,0.53521,1.80669,1.37505,1.59115,0.001208,0.001208,0.001208
22,69.1098,1.42051,2.315,1.01427,0.87283,0.88889,0.87314,0.58736,1.73149,1.31279,1.47474,0.0011684,0.0011684,0.0011684
23,71.3799,1.43089,2.83717,1.18405,0.8747,0.88889,0.87317,0.59689,1.78596,1.31308,1.5312,0.0011288,0.0011288,0.0011288
24,74.5211,1.43834,2.87852,1.12204,0.87953,0.88889,0.87295,0.5387,1.78168,1.3383,1.44511,0.0010892,0.0010892,0.0010892
25,78.3379,1.34535,2.46362,1.03854,0.87716,0.88889,0.87337,0.57429,1.64613,1.21981,1.41818,0.0010496,0.0010496,0.0010496
26,82.2273,1.31266,2.08339,1.02808,0.8815,0.88889,0.86073,0.55073,1.65415,1.11461,1.48159,0.00101,0.00101,0.00101
27,85.9403,1.36932,3.08178,1.08235,0.88072,0.88889,0.87295,0.5564,1.63022,1.13987,1.44212,0.0009704,0.0009704,0.0009704
28,88.3966,1.32233,2.14001,1.16559,0.87853,0.88889,0.87295,0.55692,1.47518,1.10199,1.26641,0.0009308,0.0009308,0.0009308
29,90.6314,1.33037,2.10135,1.0603,0.88181,0.88889,0.92488,0.58806,1.47591,1.08137,1.28255,0.0008912,0.0008912,0.0008912
30,93.3324,1.31178,2.38245,1.04308,0.88536,0.88889,0.91778,0.60039,1.53051,0.9896,1.39229,0.0008516,0.0008516,0.0008516
31,96.7029,1.19122,1.77301,0.97984,0.88761,0.87869,0.86119,0.61485,1.5027,0.99332,1.39609,0.000812,0.000812,0.000812
32,100.424,1.25878,1.70466,1.01386,0.88884,0.88849,0.84875,0.60541,1.43432,0.93182,1.37375,0.0007724,0.0007724,0.0007724
33,102.679,1.18775,1.92248,1.07409,0.88627,0.88889,0.83655,0.61347,1.31466,0.90954,1.2847,0.0007328,0.0007328,0.0007328
34,104.84,1.11413,1.83778,0.99372,0.88382,0.88889,0.86101,0.63437,1.30419,0.85073,1.29621,0.0006932,0.0006932,0.0006932
35,107.028,1.26491,1.73421,1.01822,0.87531,0.88889,0.86102,0.63479,1.25286,0.85106,1.28407,0.0006536,0.0006536,0.0006536
36,109.142,1.09087,1.82257,0.94774,0.87389,0.88889,0.86103,0.63102,1.25055,0.83558,1.2875,0.000614,0.000614,0.000614
37,111.747,1.12035,1.8312,0.9995,0.87194,0.88889,0.87326,0.63916,1.21283,0.84561,1.24956,0.0005744,0.0005744,0.0005744
38,115.12,1.08609,1.61216,0.98209,0.8715,0.88889,0.87321,0.64547,1.19911,0.84275,1.26856,0.0005348,0.0005348,0.0005348
39,118.3,1.11338,1.66552,1.01813,0.88268,0.88889,0.84877,0.6188,1.22854,0.81195,1.29927,0.0004952,0.0004952,0.0004952
40,120.414,1.16531,1.79012,1.01831,0.88264,0.88889,0.83657,0.6095,1.25652,0.81366,1.30203,0.0004556,0.0004556,0.0004556
41,124.323,1.05493,2.3217,1.01081,0.88259,0.88889,0.83657,0.596,1.27315,0.7933,1.30457,0.000416,0.000416,0.000416
42,127.19,1.16296,2.51082,1.04085,0.88232,0.88889,0.83655,0.58165,1.29876,0.78684,1.32608,0.0003764,0.0003764,0.0003764
43,130.55,1.01976,2.31681,0.96297,0.88225,0.88889,0.83651,0.60456,1.28064,0.79502,1.29016,0.0003368,0.0003368,0.0003368
44,134.326,1.05241,2.41415,1.0385,0.88189,0.88889,0.86095,0.63915,1.3059,0.81577,1.31374,0.0002972,0.0002972,0.0002972
45,136.64,1.00644,2.2773,1.04233,0.88249,0.88889,0.86095,0.6484,1.31378,0.8008,1.32108,0.0002576,0.0002576,0.0002576
46,138.746,1.09844,2.69536,0.9604,0.88295,0.88889,0.87319,0.64244,1.30995,0.80086,1.33346,0.000218,0.000218,0.000218
47,140.858,0.9529,2.10756,1.00253,0.88307,0.88889,0.87319,0.63,1.31286,0.80797,1.34941,0.0001784,0.0001784,0.0001784
48,142.942,1.06773,2.35947,0.97551,0.88323,0.88889,0.87319,0.62884,1.31542,0.80568,1.36432,0.0001388,0.0001388,0.0001388
49,145.217,0.97054,2.12231,0.99204,0.88334,0.88889,0.8732,0.66236,1.30069,0.81533,1.34785,9.92e-05,9.92e-05,9.92e-05
50,148.436,0.96087,2.21767,1.01918,0.88339,0.88889,0.87322,0.65712,1.30216,0.79999,1.34054,5.96e-05,5.96e-05,5.96e-05
